Categoria,Producto,Peso,Unidad de Medida,Costo p/llevar,Precio de venta para llevar facturado,Precio Yango,Precio PedidosYa,PRECIO LOCAL,PRECIO PLATAFORMAS,PRECIO INTERNO
BAGELS,BAGEL CHOCOBANANA,250,gramos,12.96,Bs33,Bs43,Bs41,Bs28,Bs35,Bs14
BAGELS,BAGEL DULCE,200,gramos,13.56,Bs35,Bs45,Bs43,Bs25,Bs31,Bs14
BAGELS,BAGEL FRUTOS DEL BOSQUE,250,gramos,11.15,Bs29,Bs37,Bs35,Bs28,Bs35,Bs12
BAGELS,BAGEL HOLLYWOOD,270,gramos,16.6,Bs43,Bs55,Bs52,Bs38,Bs47,Bs17
BAGELS,BAGEL MEDITERRÁNEO,270,gramos,16.58,Bs43,Bs55,Bs52,Bs38,Bs47,Bs17
BAGELS,BAGEL MEXICANO,270,gramos,15.67,Bs40,Bs52,Bs49,Bs38,Bs47,Bs17
BAGELS,BAGEL PIZZA,270,gramos,17.6,Bs45,Bs59,Bs55,Bs38,Bs47,Bs18
BAGELS,BAGEL SIMPLE,200,gramos,10.17,Bs26,Bs34,Bs32,Bs20,Bs25,Bs11
BAGELS,BAGEL SÁNDWICH,250,gramos,13.49,Bs35,Bs45,Bs42,Bs28,Bs35,Bs14
BAGELS,MINI BAGEL DULCE CFRUTA FRESCA,1,unidad,6.05,Bs16,Bs20,Bs19,#N/D,#N/D,#N/D
BAGELS,MINI BAGEL HOLLYWOOD,1,unidad,7.33,Bs19,Bs24,Bs23,#N/D,#N/D,#N/D
BAGELS,MINI BAGELS 4U,400,gramos,24.42,Bs63,Bs82,Bs77,Bs62,Bs78,Bs26
BAGELS,MINI BAGELS 8U,800,gramos,48.84,Bs126,Bs163,Bs154,Bs115,Bs144,Bs51
BEBIDAS CALIENTES SIN CAFÉ,CARAMEL MILK,250,ml,7.02,Bs18,Bs23,Bs22,Bs21,Bs26,Bs9
BEBIDAS CALIENTES SIN CAFÉ,CHAI LATTE,250,ml,7.81,Bs20,Bs26,Bs25,Bs21,Bs26,Bs9
BEBIDAS CALIENTES SIN CAFÉ,HOT CHOCOLATE,250,ml,8.38,Bs22,Bs28,Bs26,Bs22,Bs27,Bs9
BEBIDAS CALIENTES SIN CAFÉ,MATE,250,ml,3.71,Bs10,Bs12,Bs12,Bs12,Bs15,Bs5
BEBIDAS CALIENTES SIN CAFÉ,TÉ CHAI,250,ml,6.73,Bs17,Bs23,Bs21,Bs20,Bs25,Bs9
BEBIDAS CALIENTES SIN CAFÉ,TÉ NEGRO,250,ml,4.86,Bs13,Bs16,Bs15,Bs17,Bs21,Bs7
BEBIDAS CALIENTES SIN CAFÉ,TÉ VERDE,250,ml,3.93,Bs10,Bs13,Bs12,Bs17,Bs21,Bs7
