"Sucursal","Número","Factura","Tarifa delivery","Descuento","Monto total","Estado","Creado el","Anulado","Crédito","Mesa","Tipo","Pagado el","","","","","","","",""
"C&C","13","","","0.0","68.0","Pagado","01/10/2025 19:52:55.822","No","No","","PedidosYa","01/10/2025 19:53:34.721","","","","","","","",""
"C&C","11","#713","","0.0","25.0","Pagado","01/10/2025 17:53:25.565","No","No","Balcon B1","Mesa","01/10/2025 17:54:21.660","","","","","","","",""
"C&C","10","#712","","0.0","21.0","Pagado","01/10/2025 16:13:23.660","No","No","Sala S3","Mesa","01/10/2025 17:53:22.064","","","","","","","",""
"C&C","9","#711","","0.0","1500.0","Pagado","01/10/2025 14:33:16.441","No","No","YANGO CORPORATIVO MENSUAL","Mesa","01/10/2025 14:34:26.482","","","","","","","",""
"C&C","8","#710","","0.0","8992.32","Pagado","01/10/2025 14:30:30.502","No","No","YANGO CORPORATIVO MENSUAL","Mesa","01/10/2025 14:33:05.507","","","","","","","",""
"C&C","7","","","0.0","26.0","Pagado","01/10/2025 12:39:38.710","No","No","","Recojo","01/10/2025 12:40:19.156","","","","","","","",""
"C&C","6","","","0.0","66.0","Pagado","01/10/2025 12:30:24.816","No","No","","PedidosYa","01/10/2025 12:30:54.070","","","","","","","",""
"C&C","5","","","6.0","54.0","Pagado","01/10/2025 12:04:19.654","No","No","Sala S3","Mesa","01/10/2025 12:30:21.780","","","","","","","",""
"C&C","4","","","3.4","30.6","Pagado","01/10/2025 11:14:05.909","No","No","Sala S3","Mesa","01/10/2025 11:30:41.800","","","","","","","",""
"C&C","3","","","0.0","66.0","Pagado","01/10/2025 10:31:51.024","No","No","Sala S5","Mesa","01/10/2025 12:01:28.740","","","","","","","",""
"C&C","2","","","0.0","38.0","Pagado","01/10/2025 10:02:38.748","No","No","Cubiculo C4","Mesa","01/10/2025 13:06:45.518","","","","","","","",""
"C&C","1","","","0.0","46.0","Pagado","01/10/2025 10:01:40.009","No","No","Sala S2","Mesa","01/10/2025 12:06:58.868","","","","","","","",""
