"Sucursal","Número","Factura","Tarifa delivery","Descuento","Monto total","Estado","Creado el","Anulado","Crédito","Mesa","Tipo","Pagado el","","","","","","","",""
"C&C","37","","","0.0","22.0","Pagado","16/12/2025 21:52:46.023","No","No","Sala S2","Mesa","16/12/2025 21:55:38.627","","","","","","","",""
"C&C","36","#869","","0.0","1500.0","Pagado","01/12/2025 22:57:00.803","No","No","YANGO CORPORATIVO MENSUAL","Mesa","01/12/2025 22:57:45.023","","","","","","","",""
"C&C","36","","","0.0","22.0","Pagado","16/12/2025 21:52:15.881","No","No","Sala S2","Mesa","16/12/2025 21:55:31.646","","","","","","","",""
"C&C","35","#868","","0.0","8992.32","Pagado","01/12/2025 22:55:14.704","No","No","YANGO CORPORATIVO MENSUAL","Mesa","01/12/2025 22:56:55.343","","","","","","","",""
"C&C","35","","","0.0","56.0","Pendiente de pago","16/12/2025 21:22:01.831","No","No","Stephanie Ugartache","Mesa","","","","","","","","",""
"C&C","34","","","0.0","4.0","Pagado","01/12/2025 19:52:46.151","No","No","","Recojo","01/12/2025 19:53:25.985","","","","","","","",""
"C&C","34","","","0.0","82.0","Pagado","16/12/2025 21:19:43.894","No","No","","PedidosYa","16/12/2025 21:20:50.285","","","","","","","",""
"C&C","33","#867","","0.0","145.0","Pagado","01/12/2025 19:26:37.401","No","No","Balcon B5","Mesa","01/12/2025 20:10:43.758","","","","","","","",""
"C&C","33","","","0.0","137.0","Pagado","16/12/2025 20:26:33.681","No","No","Sala S2","Mesa","16/12/2025 21:55:48.272","","","","","","","",""
"C&C","32","#866","","0.0","117.0","Pagado","01/12/2025 19:03:02.545","No","No","","PedidosYa","01/12/2025 19:03:55.079","","","","","","","",""
"C&C","32","","","0.0","12.0","Pagado","16/12/2025 19:30:59.825","No","No","Balcon B5","Mesa","16/12/2025 19:31:43.128","","","","","","","",""
"C&C","31","","","0.0","69.0","Pagado","01/12/2025 18:14:55.043","No","No","Sala S3","Mesa","01/12/2025 19:26:28.282","","","","","","","",""
"C&C","31","#905","","0.0","35.0","Pagado","15/12/2025 20:57:01.932","No","No","","Mesa","15/12/2025 20:58:28.966","","","","","","","",""
"C&C","31","#911","","0.0","18.0","Pagado","16/12/2025 19:25:14.412","No","No","","Recojo","16/12/2025 19:26:22.395","","","","","","","",""
"C&C","30","","","0.0","340.0","Pendiente de pago","01/12/2025 18:11:41.772","No","No","Oscar Vaca","Interno","","","","","","","","",""
